[2025-06-05 06:51:09,042] 18 - INFO - initate the data ingstion
[2025-06-05 06:51:15,598] 65 - INFO - Performed train test split on the dataframe
[2025-06-05 06:51:15,598] 67 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-05 06:51:15,598] 75 - INFO - Exporting train and test file path.
[2025-06-05 06:51:15,647] 84 - INFO - Exported train and test file path.
[2025-06-05 06:51:15,647] 20 - INFO - data ingestion completed
[2025-06-05 06:51:15,667] 24 - INFO - initate data validation
[2025-06-05 06:51:15,719] 32 - INFO - Required number of columns:2
[2025-06-05 06:51:15,719] 33 - INFO - Data frame has columns:31
[2025-06-05 06:51:15,719] 32 - INFO - Required number of columns:2
[2025-06-05 06:51:15,721] 33 - INFO - Data frame has columns:31
[2025-06-05 06:51:15,863] 26 - INFO - data validation completed
[2025-06-05 06:51:15,863] 32 - INFO - data Transformation started
[2025-06-05 06:51:15,863] 63 - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-06-05 06:51:15,863] 65 - INFO - Starting data transformation
[2025-06-05 06:51:15,887] 48 - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-06-05 06:51:15,887] 53 - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-05 06:51:15,901] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 06:51:15,902] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 06:51:15,902] 41 - INFO - Entered the save_object method of MainUtils class
[2025-06-05 06:51:15,902] 45 - INFO - Exited the save_object method of MainUtils class
[2025-06-05 06:51:15,902] 37 - INFO - data Transformation completed
