mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.05206028620402018,0.011702917334326577,0.0023697217305501304,0.0017151468721954529,0.1,8,0.6,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.6}",0.916214382632293,0.9175712347354138,0.9182496607869742,0.9173450927182271,0.0008461459490669407,64
0.04093035062154134,0.004753039810735869,0.0029656092325846353,0.004194004797420058,0.1,8,0.7,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.7}",0.916214382632293,0.9175712347354138,0.9192672998643148,0.9176843057440073,0.0012489101104915554,58
0.047549804051717125,3.658014094907616e-05,0.0,0.0,0.1,8,0.75,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.75}",0.916214382632293,0.9138398914518318,0.9192672998643148,0.9164405246494799,0.002221492843101359,71
0.06583841641743977,0.01317701271777869,0.0009512106577555338,0.0013452150128717086,0.1,8,0.85,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.85}",0.916214382632293,0.9175712347354138,0.9182496607869742,0.9173450927182271,0.0008461459490669407,64
0.053469578425089516,0.0022274809096122193,0.001398166020711263,0.0009897790711076418,0.1,8,0.9,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.9}",0.916214382632293,0.9175712347354138,0.9182496607869742,0.9173450927182271,0.0008461459490669407,64
0.10217444101969402,0.01221414146676205,0.003329197565714518,0.0012603566568204095,0.1,16,0.6,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.6}",0.9260515603799185,0.9182496607869742,0.9257123473541384,0.923337856173677,0.003600561584823747,31
0.08135183652242024,0.006211693686381044,0.005918105443318685,0.007003263843444546,0.1,16,0.7,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.7}",0.9168928086838535,0.917910447761194,0.9253731343283582,0.9200587969244686,0.0037806995697196952,46
0.08836428324381511,0.004517994372787348,0.006886800130208333,0.0065124568330491425,0.1,16,0.75,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.75}",0.9172320217096337,0.9175712347354138,0.9206241519674355,0.918475802804161,0.0015254113029434526,50
0.09668533007303874,0.005555810549467546,0.0022437572479248047,0.0003364761687089609,0.1,16,0.85,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.85}",0.9202849389416553,0.9175712347354138,0.9206241519674355,0.9194934418815016,0.00136624219511472,47
0.09592167536417644,0.0017031094986649598,0.0026674270629882812,0.0004728893331750947,0.1,16,0.9,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.9}",0.9172320217096337,0.917910447761194,0.9226594301221167,0.9192672998643149,0.0024145360135756013,48
0.15088931719462076,0.00041427903618772825,0.004058678944905599,0.0008743543274471993,0.1,32,0.6,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.6}",0.9253731343283582,0.9172320217096337,0.9270691994572592,0.9232247851650838,0.0042937217426611204,36
0.1607381502787272,0.0018313858600042846,0.00371400515238444,0.0005417364468052957,0.1,32,0.7,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.7}",0.9284260515603799,0.9185888738127544,0.9260515603799185,0.9243554952510177,0.004191260287844993,27
0.17798487345377603,0.01173598408487777,0.0009998480478922527,0.0014139986696414873,0.1,32,0.75,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.75}",0.926729986431479,0.9175712347354138,0.9260515603799185,0.9234509271822704,0.004166785565962984,30
0.18421697616577148,0.004566273472609898,0.0033243497212727866,0.0004549615555491946,0.1,32,0.85,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.85}",0.9260515603799185,0.9172320217096337,0.9257123473541384,0.9229986431478968,0.0040799680128151515,39
0.18424208958943686,0.010130281737020793,0.002000570297241211,0.0014146175768489874,0.1,32,0.9,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.9}",0.9284260515603799,0.9175712347354138,0.9257123473541384,0.923903211216644,0.004612410233914806,28
0.3968077500661214,0.05868658986531382,0.010683059692382812,0.005335778017418326,0.1,64,0.6,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.6}",0.9382632293080054,0.9379240162822252,0.939280868385346,0.9384893713251922,0.0005765512792393407,19
0.35492459932963055,0.027084258079184274,0.0051364898681640625,0.00015008419570610107,0.1,64,0.7,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.7}",0.9402985074626866,0.9389416553595658,0.9416553595658074,0.9402985074626865,0.001107865103022735,16
0.464295228322347,0.05186103304271497,0.004863739013671875,0.004016547466595998,0.1,64,0.75,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.75}",0.9379240162822252,0.9341926729986432,0.9402985074626866,0.9374717322478517,0.0025131287619734213,22
0.44082140922546387,0.06826962559733192,0.0033256212870279946,0.002352343563499009,0.1,64,0.85,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.85}",0.9365671641791045,0.9369063772048847,0.937584803256445,0.937019448213478,0.00042307297453344567,24
0.374099334081014,0.006436033607717649,0.002450863520304362,0.0020431948307273553,0.1,64,0.9,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.9}",0.9369063772048847,0.937584803256445,0.9369063772048847,0.9371325192220715,0.000319813107727945,23
